City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Hithadhoo,MV,83.16,-0.6,73.0833,Scoop Guest House
8,Faanui,PF,79.86,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Isangel,VU,75.97,-19.55,169.2667,Tanna Lodge
11,Hueypoxtla,MX,80.47,19.9083,-99.08,iglesia de Cristo El Salvador
12,Isla Vista,US,87.01,34.4133,-119.861,Best Western Plus South Coast Inn
14,Balikpapan,ID,76.19,-1.2675,116.8289,Swiss-Belhotel Balikpapan
15,Albany,US,75.79,42.6001,-73.9662,
18,Dunmore Town,BS,80.31,25.5,-76.65,Coral Sands Hotel
19,Butaritari,KI,81.93,3.0707,172.7902,Isles Sunset Lodge
21,Black River,JM,85.53,18.0264,-77.8487,Idlers' Rest Beach Hotel
28,Salalah,OM,81.48,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
30,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
33,Hilo,US,87.28,19.7297,-155.09,Hilo Hawaiian Hotel
38,Victoria,HK,84.38,22.2855,114.1577,Mini Central
42,Atuona,PF,78.28,-9.8,-139.0333,Villa Enata
45,Nushki,PK,75.52,29.5542,66.0215,Shams hotel
49,Nalut,LY,85.6,30.3333,10.85,
50,Luwuk,ID,76.86,-0.9516,122.7875,Hotel Santika Luwuk
51,Vanimo,PG,75.85,-2.6741,141.3028,Vahmoneh Lodge Vanimo
60,Bengkulu,ID,76.68,-3.8004,102.2655,Grage Hotel Bengkulu
61,Sabya,SA,87.42,17.1495,42.6254,Aseel Hotel Apartment
62,Port Blair,IN,78.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
70,Pawa,PH,76.62,13.1747,123.7328,Hotel St. Ellis
73,Labuhan,ID,77.72,-6.8844,112.2051,DoubleFAG
80,Tepalcingo,MX,88.21,18.6,-98.85,Hotel Girasoles
83,Laurel,US,81.88,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
88,Marsh Harbour,BS,80.53,26.5412,-77.0636,Abaco Beach Resort
90,Padilla,CO,83.77,3.2204,-76.3139,La Granadina
94,Siniscola,IT,80.15,40.5719,9.6922,Hotel Sa Tanca E Bore
96,Anito,PH,76.05,12.4497,125.2886,El Felix Cottages
105,Boyolangu,ID,75.6,-8.1181,111.8935,Yos ega cv
108,Kavieng,PG,81.09,-2.5744,150.7967,Nusa Island Retreat
110,Bandarbeyla,SO,79.29,9.4942,50.8122,JABIR HOTEL
112,Tautira,PF,80.13,-17.7333,-149.15,Pension Oaoa
113,Bethel,US,77.52,41.3712,-73.414,Courtyard by Marriott Danbury
115,Gilbues,BR,82.18,-9.8317,-45.3439,Hotel Camapuã
123,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
129,Ixtapa,MX,89.29,20.7,-105.2,hotel la terminal
131,Morant Bay,JM,87.71,17.8815,-76.4093,Whispering Bamboo Cove Resort
132,Sibolga,ID,76.05,1.7427,98.7792,Hotel Syariah CN Darussalam
136,Hirara,JP,82.81,24.8,125.2833,Hotel Atoll Emerald Miyakojima
140,Moerai,PF,76.35,-22.4333,-151.3333,Le Manotel
141,Takoradi,GH,78.67,4.8845,-1.7554,Raybow International Hotel
143,Kapaa,US,76.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
148,Avera,US,85.55,33.194,-82.5271,
149,Freeport,US,80.29,40.6576,-73.5832,The Freeport Inn and Marina
152,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
160,Sao Filipe,CV,75.22,14.8961,-24.4956,Hotel Xaguate
164,Saint Anthony,US,75.81,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
168,Fayaoue,NC,75.94,-20.65,166.5333,Chez Dydyce Guesthouse
170,Mana,GF,79.39,5.6592,-53.7767,LE SAMANA
177,Fort Collins,US,84.42,40.5853,-105.0844,Best Western University Inn
182,Cayenne,GF,80.64,4.9333,-52.3333,Hôtel Le Dronmi
187,Banda Aceh,ID,79.61,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
189,Dicabisagan,PH,78.3,17.0818,122.4157,Nancy Montanes Bernardo
190,Port-Gentil,GA,75.16,-0.7193,8.7815,Fengshui Residence
191,Cabedelo,BR,77.99,-6.9811,-34.8339,Pousada Camboinha
193,Trincomalee,LK,80.42,8.5711,81.2335,Welcombe Hotel
194,Luganville,VU,80.87,-15.5333,167.1667,The Espiritu Hotel
197,Kahului,US,78.84,20.8947,-156.47,Maui Seaside Hotel
198,Kutum,SD,82.72,14.2,24.6667,Dibbo areaمنطقة دبو
202,Robertsport,LR,80.11,6.7533,-11.3686,Kwepunha Retreat
209,Lethem,GY,83.62,3.3803,-59.7968,Savannah Inn
212,Harper,LR,78.39,4.375,-7.7169,Screensaver
217,Carroll,US,79.65,39.5501,-77.0164,Best Western Westminster Hotel
219,Laguna,US,79.09,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
221,Morro Bay,US,87.39,35.3658,-120.8499,Inn at Morro Bay
225,Chardara,KZ,75.09,41.2547,67.9692,Жанаргул
226,Tamandare,BR,76.44,-8.7597,-35.1047,Pousada 100 Passos
236,Lorengau,PG,79.48,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Quebo,GW,79.0,11.3333,-14.9333,
241,Dingle,PH,76.05,10.9995,122.6711,SEGAYA PROPERTY
243,Macapa,BR,78.66,0.0389,-51.0664,Atalanta Hotel
247,Wewak,PG,76.77,-3.5534,143.6268,In Wewak Boutique Hotel
253,Ko Samui,TH,83.64,9.5357,99.9357,The Passage
255,Samal,PH,78.76,7.0744,125.7083,Kara Kubotel @ Sunset Beach
256,Todos Santos,MX,75.79,23.45,-110.2167,Hotel California Todos Santos
257,San Policarpo,PH,76.86,12.1791,125.5072,Agapita M. Nicart
261,Santa Ana,US,88.41,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
262,Garissa,KE,76.44,-0.4536,39.6401,Sharif Plaza Hotel
263,Houma,US,84.0,29.5958,-90.7195,Courtyard by Marriott Houma
274,Namatanai,PG,78.8,-3.6667,152.4333,Seagulls Inn Namatani
280,Murray,US,78.51,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
281,Katsina,NG,85.87,12.9894,7.6006,Katsina Motel
282,Baripada,IN,82.99,21.935,86.7214,Aparna Hotel
284,Rincon,US,82.85,32.296,-81.2354,Days Inn Rincon
285,San Andres,CO,84.24,12.5847,-81.7006,Hotel Arena Blanca
286,Pachino,IT,77.43,36.7186,15.0907,Il Veliero
287,Hollins,US,82.49,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
293,Kismayo,SO,78.85,-0.3582,42.5454,Agan-Hotel
294,Marsciano,IT,78.78,42.9059,12.3359,Antico Casolare
295,Arauca,CO,77.0,7.0847,-70.7591,Hotel Verano Plaza
298,Guhagar,IN,81.77,17.4842,73.1929,Hotel Seawinds
