City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-06-05 20:55:53,-0.6,73.0833,83.16,69,39,5.7
1,Port Alfred,ZA,2022-06-05 20:54:13,-33.5906,26.891,57.18,89,8,14.94
2,Deputatskiy,RU,2022-06-05 20:55:53,69.3,139.9,55.17,68,100,2.89
3,Barrow,US,2022-06-05 20:55:54,71.2906,-156.7887,31.68,80,9,19.93
4,East London,ZA,2022-06-05 20:55:54,-33.0153,27.9116,62.2,75,35,10.58
5,Cape Town,ZA,2022-06-05 20:55:54,-33.9258,18.4232,64.38,69,0,4.61
6,Aklavik,CA,2022-06-05 20:55:55,68.2191,-135.0107,41.0,52,69,6.15
7,Sorochinsk,RU,2022-06-05 20:55:55,52.4338,53.1583,59.47,76,87,4.45
8,Faanui,PF,2022-06-05 20:55:56,-16.4833,-151.75,79.86,74,57,11.92
9,Isangel,VU,2022-06-05 20:55:56,-19.55,169.2667,75.97,72,19,5.19
10,Rikitea,PF,2022-06-05 20:55:57,-23.1203,-134.9692,73.63,78,12,17.49
11,Hueypoxtla,MX,2022-06-05 20:55:57,19.9083,-99.08,80.47,21,92,16.02
12,Isla Vista,US,2022-06-05 20:55:57,34.4133,-119.861,87.01,45,69,17.43
13,Ancud,CL,2022-06-05 20:55:58,-41.8697,-73.8203,48.47,81,100,18.97
14,Balikpapan,ID,2022-06-05 20:55:58,-1.2675,116.8289,76.19,100,40,2.3
15,Albany,US,2022-06-05 20:55:59,42.6001,-73.9662,75.79,35,13,9.82
16,Carnarvon,AU,2022-06-05 20:55:59,-24.8667,113.6333,66.04,47,1,6.87
17,Bredasdorp,ZA,2022-06-05 20:56:00,-34.5322,20.0403,55.24,85,10,4.27
18,Dunmore Town,BS,2022-06-05 20:56:00,25.5,-76.65,80.31,82,7,10.33
19,Butaritari,KI,2022-06-05 20:56:00,3.0707,172.7902,81.93,70,62,11.92
20,Port Elizabeth,ZA,2022-06-05 20:56:01,-33.918,25.5701,62.1,87,0,6.91
21,Black River,JM,2022-06-05 20:56:01,18.0264,-77.8487,85.53,66,61,17.18
22,Omboue,GA,2022-06-05 20:56:02,-1.5746,9.2618,73.94,91,91,3.51
23,Punta Arenas,CL,2022-06-05 20:56:02,-53.15,-70.9167,50.11,46,0,17.27
24,Upernavik,GL,2022-06-05 20:56:03,72.7868,-56.1549,31.57,69,0,10.07
25,Lubbock,US,2022-06-05 20:51:33,33.6001,-101.8338,99.37,11,40,9.22
26,Talnakh,RU,2022-06-05 20:56:03,69.4865,88.3972,29.21,80,21,2.64
27,Vaini,TO,2022-06-05 20:56:04,-21.2,-175.2,73.56,88,40,2.3
28,Salalah,OM,2022-06-05 20:56:04,17.0151,54.0924,81.48,80,88,5.01
29,Ilinskiy,RU,2022-06-05 20:56:04,55.619,38.1182,57.54,93,0,0.0
30,Georgetown,MY,2022-06-05 20:55:24,5.4112,100.3354,80.53,93,20,2.3
31,Ushuaia,AR,2022-06-05 20:56:05,-54.8,-68.3,49.66,43,75,21.85
32,Provideniya,RU,2022-06-05 20:56:05,64.3833,-173.3,46.51,71,0,7.0
33,Hilo,US,2022-06-05 20:55:23,19.7297,-155.09,87.28,92,100,4.0
34,Kaeo,NZ,2022-06-05 20:56:06,-35.1,173.7833,54.32,97,94,5.55
