City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Moindou,NC,2022-05-31 18:20:13,-21.6924,165.677,75.58,85,74,3.74
1,Mahebourg,MU,2022-05-31 18:20:14,-20.4081,57.7,75.49,57,40,17.27
2,Tari,NG,2022-05-31 18:20:14,12.4086,4.4914,99.03,23,56,1.77
3,Jamestown,US,2022-05-31 18:20:15,42.097,-79.2353,82.06,48,100,13.8
4,Kurdzhinovo,RU,2022-05-31 18:20:15,43.9884,40.9552,57.7,85,74,4.97
5,Stanilesti,RO,2022-05-31 18:20:16,46.6183,28.1714,69.13,75,81,5.32
6,Dikson,RU,2022-05-31 18:20:17,73.5069,80.5464,30.6,95,100,19.64
7,Jalu,LY,2022-05-31 18:20:17,29.0331,21.5482,89.06,12,96,7.49
8,Kargasok,RU,2022-05-31 18:20:18,59.0556,80.8572,50.83,54,92,10.16
9,Morozovsk,RU,2022-05-31 18:20:18,48.3539,41.8261,73.33,64,56,12.01
10,Puerto Ayora,EC,2022-05-31 18:20:18,-0.7393,-90.3518,84.16,82,97,13.04
11,Kattivakkam,IN,2022-05-31 18:20:19,13.2167,80.3167,88.07,82,92,17.74
12,Qui Nhon,VN,2022-05-31 18:20:19,13.7667,109.2333,80.02,88,59,2.86
13,Qaanaaq,GL,2022-05-31 18:20:20,77.484,-69.3632,26.02,60,8,1.9
14,East London,ZA,2022-05-31 18:20:20,-33.0153,27.9116,58.14,54,0,9.22
15,Ixtapa,MX,2022-05-31 18:17:25,20.7,-105.2,83.43,65,0,10.36
16,Coihaique,CL,2022-05-31 18:20:21,-45.5752,-72.0662,30.81,100,100,2.3
17,Den Helder,NL,2022-05-31 18:19:16,52.9599,4.7593,59.02,65,100,8.99
18,Vaini,TO,2022-05-31 18:20:22,-21.2,-175.2,73.56,94,75,5.75
19,Dawei,MM,2022-05-31 18:20:22,14.0833,98.2,77.27,90,100,1.41
20,Albany,US,2022-05-31 18:19:08,42.6001,-73.9662,91.45,45,90,5.01
21,Barrow,US,2022-05-31 18:17:57,71.2906,-156.7887,30.22,86,100,18.41
22,Nemuro,JP,2022-05-31 18:20:23,43.3236,145.575,45.23,98,100,12.37
23,Ahuimanu,US,2022-05-31 18:20:24,21.4447,-157.8378,80.31,73,75,10.36
24,Port Elizabeth,ZA,2022-05-31 18:20:24,-33.918,25.5701,59.29,72,0,12.66
25,Cape Town,ZA,2022-05-31 18:16:49,-33.9258,18.4232,57.11,79,0,5.75
26,Abhar,IR,2022-05-31 18:20:25,36.1468,49.218,61.14,57,28,5.68
27,Yellowknife,CA,2022-05-31 18:20:10,62.456,-114.3525,55.92,38,20,8.05
28,Ponta Do Sol,PT,2022-05-31 18:20:26,32.6667,-17.1,70.43,89,48,14.63
29,Port Alfred,ZA,2022-05-31 18:20:26,-33.5906,26.891,56.17,71,20,5.01
30,Dawson Creek,CA,2022-05-31 18:20:27,55.7666,-120.2362,62.24,36,0,6.91
31,Busselton,AU,2022-05-31 18:20:27,-33.65,115.3333,52.03,80,54,5.93
32,San Patricio,US,2022-05-31 18:20:27,28.017,-97.5169,92.16,49,30,17.58
33,Algeciras,ES,2022-05-31 18:20:28,36.1333,-5.4505,73.08,60,0,16.11
34,Meulaboh,ID,2022-05-31 18:20:29,4.1363,96.1285,76.87,84,67,2.86
35,Saskylakh,RU,2022-05-31 18:20:29,71.9167,114.0833,13.05,100,79,3.62
